process,plugin,model,phase,sample_count,processing_latency_ms,std_latency_ms,min_latency_ms,max_latency_ms,p95_latency_ms,e2e_latency_ms,t_start,t_end
eye1,Pye3DPlugin,Pye3DPlugin,loop,125,0.5596768101677299,0.08554370106017219,0.36441709380596876,0.9085590718314052,0.682864966802299,14.447284542955458,870414.680531258,870415.688293332
eye1,Pye3DPlugin,Pye3DPlugin,loop,122,0.5119127597369743,0.10790862967216015,0.3439100692048669,0.9823560249060392,0.6949561473447827,15.027897274999528,870415.688293332,870416.688482831
eye1,Pye3DPlugin,Pye3DPlugin,loop,83,0.7539414043302637,0.7587251841553834,0.3198289778083563,5.943706026300788,1.3277593534439796,21.74976597265172,870416.688482831,870417.695673625
eye1,Pye3DPlugin,Pye3DPlugin,loop,72,0.9286422363301325,0.4825939411429171,0.3609310369938612,3.9598869625478983,1.3901612488552928,25.725328452406554,870417.695673625,870418.699878809
eye1,Pye3DPlugin,Pye3DPlugin,loop,95,0.8914892047055458,0.24811273536165432,0.47917303163558245,1.6185889253392816,1.272041059564799,21.966622828652984,870418.699878809,870419.703928757
eye1,Pye3DPlugin,Pye3DPlugin,loop,110,0.7298675789074465,0.1937322923628322,0.4883339861407876,1.189562026411295,1.0909361008089036,19.57004614576528,870419.703928757,870420.714691147
eye1,Pye3DPlugin,Pye3DPlugin,loop,109,0.7322419716745888,0.19277898204354152,0.5050479667261243,1.1815800098702312,1.0556142311543226,20.26465343345606,870420.714691147,870421.718388013
eye1,Pye3DPlugin,Pye3DPlugin,loop,104,0.7434313245959436,0.2053952411626001,0.49131305422633886,1.1928949970752,1.0916494764387605,21.14903056309021,870421.718388013,870422.726478787
eye1,Pye3DPlugin,Pye3DPlugin,loop,107,0.7400325701841823,0.18951479292481466,0.46720891259610653,1.106192939914763,1.045234850607812,20.82900732546766,870422.726478787,870423.726750774
eye1,Pye3DPlugin,Pye3DPlugin,loop,52,0.654471982180929,0.16985472639689272,0.4318490391597152,1.0152889881283045,0.9790928859729319,19.18946630590094,870423.726750774,870425.18654928
eye0,Pye3DPlugin,Pye3DPlugin,boot,1,46.392368036322296,0.0,46.392368036322296,46.392368036322296,46.392368036322296,286.60738200414926,870418.184827421,870418.231219789
eye0,Pye3DPlugin,Pye3DPlugin,loop,82,1.014159572106309,0.3757962021204683,0.602966989390552,3.51364491507411,1.4131682051811367,23.53144982239095,870418.231219789,870419.235603849
eye0,Pye3DPlugin,Pye3DPlugin,loop,108,0.827267922297189,0.27764450415011793,0.547852017916739,2.1121070021763444,1.2158201076090334,19.969217204359463,870419.235603849,870420.23661559
eye0,Pye3DPlugin,Pye3DPlugin,loop,102,0.8672957454680228,0.22794050836117716,0.5599979776889086,1.428323914296925,1.2211981462314723,21.020939776801743,870420.23661559,870421.244948357
eye0,Pye3DPlugin,Pye3DPlugin,loop,114,0.7761755474156847,0.19845430695489316,0.5521790590137243,1.428144983947277,1.1400791816413403,19.360185654940118,870421.244948357,870422.245261185
eye0,Pye3DPlugin,Pye3DPlugin,loop,110,0.7930090026506647,0.2186436728582578,0.536235049366951,1.4407719718292356,1.2025277421344072,19.75331679621542,870422.245261185,870423.251020205
eye0,Pye3DPlugin,Pye3DPlugin,loop,118,0.7030581720015507,0.2181600657519081,0.4835679428651929,2.243984956294298,1.0408909816760568,17.765486727358173,870423.251020205,870424.252061554
eye0,Pye3DPlugin,Pye3DPlugin,loop,123,0.6095830207251436,0.12418333926647046,0.4813749110326171,1.173575990833342,0.8483206969685851,15.300688164391957,870424.252061554,870425.252174454
eye0,Pye3DPlugin,Pye3DPlugin,loop,124,0.5645432900036534,0.09611579691836483,0.46229397412389517,1.0265400633215904,0.7060432573780414,15.017580841818164,870425.252174454,870426.252248751
eye0,Pye3DPlugin,Pye3DPlugin,loop,124,0.5613987215779601,0.12147086634530775,0.46216300688683987,1.3469590339809656,0.6899385771248489,15.09734634929637,870426.252248751,870427.256208128
eye0,Pye3DPlugin,Pye3DPlugin,loop,20,0.524048157967627,0.029712792927635855,0.4790080711245537,0.6130719557404518,0.558682659175247,15.400681737810373,870427.256208128,870428.417294418
