process,plugin,model,stage,frame_timestamp,processing_latency_ms,e2e_latency_ms,t_start,t_end
world,UVC_Source,UVC_Source,gl_display,0.0,1.7718150047585368,1.7718150047585368,843965.397714144,843965.399485959
world,UVC_Source,UVC_Source,recent_events,843965.362112,29.003169969655573,67.1900890301913,843965.400296038,843965.429299208
world,UVC_Source,UVC_Source,gl_display,0.0,1.8503229366615415,1.8503229366615415,843965.429702403,843965.431552726
world,UVC_Source,UVC_Source,recent_events,843965.395623,33.24917599093169,69.82646498363465,843965.432198094,843965.46544727
world,UVC_Source,UVC_Source,gl_display,0.0,2.0276299910619855,2.0276299910619855,843965.465879032,843965.467906662
world,UVC_Source,UVC_Source,recent_events,843965.429133,29.069732991047204,68.54303006548434,843965.468600512,843965.497670245
world,UVC_Source,UVC_Source,gl_display,0.0,10.813024011440575,10.813024011440575,843965.498447876,843965.5092609
world,UVC_Source,UVC_Source,recent_events,843965.462644,23.02031998988241,70.98231907002628,843965.510601624,843965.533621944
world,UVC_Source,UVC_Source,gl_display,0.0,5.229230038821697,5.229230038821697,843965.534114142,843965.539343372
world,UVC_Source,UVC_Source,recent_events,843965.496154,25.56042606011033,69.24646289553493,843965.539836237,843965.565396663
world,UVC_Source,UVC_Source,gl_display,0.0,4.4234939850866795,4.4234939850866795,843965.565687135,843965.570110629
world,UVC_Source,UVC_Source,recent_events,843965.529664,26.59603499341756,67.74681399110705,843965.570808533,843965.597404568
world,UVC_Source,UVC_Source,gl_display,0.0,9.325447957962751,9.325447957962751,843965.599196729,843965.608522177
world,UVC_Source,UVC_Source,recent_events,843965.563175,23.51682400330901,70.01645292621106,843965.609673081,843965.633189905
world,UVC_Source,UVC_Source,gl_display,0.0,1.9498870242387056,1.9498870242387056,843965.633331877,843965.635281764
world,UVC_Source,UVC_Source,recent_events,843965.596685,29.4576600426808,68.61692201346159,843965.635841221,843965.665298881
world,UVC_Source,UVC_Source,gl_display,0.0,2.893140073865652,2.893140073865652,843965.665952395,843965.668845535
world,UVC_Source,UVC_Source,recent_events,843965.630196,27.547086006961763,67.14099599048495,843965.66978768,843965.697334766
world,UVC_Source,UVC_Source,gl_display,0.0,2.895158948376775,2.895158948376775,843965.697974868,843965.700870027
world,UVC_Source,UVC_Source,recent_events,843965.663706,31.792605062946677,69.59590606857091,843965.701507413,843965.733300018
world,UVC_Source,UVC_Source,gl_display,0.0,1.9565289840102196,1.9565289840102196,843965.734240308,843965.736196837
world,UVC_Source,UVC_Source,recent_events,843965.697216,28.673453023657203,68.06801608763635,843965.73660797,843965.765281423
world,UVC_Source,UVC_Source,gl_display,0.0,2.056230092421174,2.056230092421174,843965.766344216,843965.768400446
