plugin,timestamp,processing_latency_ms,e2e_latency_ms,t_start,t_end
Recorder,783310.069629,0.004695029929280281,1787643586295.1753,783310.137939886,783310.137944581
Recorder,783310.10314,0.003771972842514515,1787643586297.4148,783310.173691237,783310.173695009
Recorder,783310.13665,0.004349043592810631,1787643586295.9204,783310.205706105,783310.205710454
Recorder,783310.170161,0.004378962330520153,1787643586294.4016,783310.237698465,783310.237702844
Recorder,783310.203671,0.004019006155431271,1787643586296.918,783310.273724857,783310.273728876
Recorder,783310.237181,0.004560919478535652,1787643586295.6567,783310.305973376,783310.305977937
Recorder,783310.270692,0.004768953658640385,1787643586298.0833,783310.341910223,783310.341914992
Recorder,783310.304202,0.004022964276373386,1787643586296.3625,783310.373700832,783310.373704855
Recorder,783310.337713,0.004535890184342861,1787643586294.8635,783310.405712126,783310.405716662
Recorder,783310.371223,0.002963002771139145,1787643586297.151,783310.441511502,783310.441514465
Recorder,783310.505265,0.002212938852608204,1787643586301.8772,783310.580280667,783310.58028288
Recorder,783310.538775,0.0021599698811769485,1787643586297.534,783310.60944754,783310.6094497
Recorder,783310.572285,0.005710986442863941,1787643586296.3394,783310.64175867,783310.641764381
Recorder,783310.605796,0.004553003236651421,1787643586294.8193,783310.673750904,783310.673755457
Recorder,783310.639306,0.005510053597390652,1787643586297.348,783310.709783461,783310.709788971
Recorder,783310.672817,0.004901085048913956,1787643586296.0164,783310.741968724,783310.741973625
Recorder,783310.706327,0.003559049218893051,1787643586294.2188,783310.773682663,783310.773686222
Recorder,783310.739837,0.003797002136707306,1787643586296.6948,783310.809667936,783310.809671733
Recorder,783310.773348,0.004961970262229443,1787643586295.3008,783310.841783996,783310.841788958
Recorder,783310.806858,0.00418501440435648,1787643586297.7668,783310.87776076,783310.877764945
Recorder,783310.840369,0.0044209882616996765,1787643586296.447,783310.909951978,783310.909956399
Recorder,783310.873879,0.000967993400990963,1787643586294.3684,783310.941387388,783310.941388356
Recorder,783310.907389,0.004082103259861469,1787643586297.2483,783310.977773296,783310.977777378
Recorder,783310.9409,0.06923207547515631,1787643586295.736,783311.009706314,783311.009775546
Recorder,783310.97441,0.003756023943424225,1787643586298.1985,783311.045744977,783311.045748733
Recorder,783311.007921,0.00613299198448658,1787643586296.9949,783311.078049927,783311.07805606
Recorder,783311.041431,0.005547073669731617,1787643586295.325,783311.109890658,783311.109896205
Recorder,783311.074941,0.0043389154598116875,1787643586297.7412,783311.14581776,783311.145822099
Recorder,783311.108452,0.004473025910556316,1787643586296.2034,783311.177791115,783311.177795588
Recorder,783311.141962,0.004815985448658466,1787643586294.7063,783311.209803656,783311.209808472
Recorder,783311.175473,0.004236935637891293,1787643586297.379,783311.245987909,783311.245992146
Recorder,783311.208983,0.00439805444329977,1787643586295.6162,783311.277716329,783311.277720727
Recorder,783311.242493,0.004641944542527199,1787643586298.107,783311.313735421,783311.313740063
Recorder,783311.276004,0.004285015165805817,1787643586296.6206,783311.345760141,783311.345764426
Recorder,783311.309514,0.0011490192264318466,1787643586294.694,783311.377347823,783311.377348972
Recorder,783311.343025,0.024232896976172924,1787643586297.8586,783311.41399916,783311.414023393
Recorder,783311.376535,0.004178960807621479,1787643586296.0852,783311.445756042,783311.445760221
Recorder,783311.410045,0.004015048034489155,1787643586294.6396,783311.477820743,783311.477824758
Recorder,783311.443556,0.005330890417098999,1787643586297.273,783311.513963393,783311.513968724
Recorder,783311.477066,0.0040780287235975266,1787643586295.577,783311.545778821,783311.545782899
Recorder,783311.510577,0.005037989467382431,1787643586298.3665,783311.58207876,783311.582083798
Recorder,783311.544087,0.004264060407876968,1787643586296.5762,783311.613799155,783311.613803419
Recorder,783311.577597,0.004255096428096294,1787643586294.9846,783311.645717189,783311.645721444
Recorder,783311.611108,0.004678033292293549,1787643586297.559,783311.681802686,783311.681807364
Recorder,783311.644618,0.0040809391066432,1787643586296.0132,783311.713767164,783311.713771245
Recorder,783311.678129,0.004025059752166271,1787643586294.913,783311.74617799,783311.746182015
Recorder,783311.711639,0.004803994670510292,1787643586297.0767,783311.781850869,783311.781855673
Recorder,783311.745149,0.005175941623747349,1787643586295.4983,783311.813782169,783311.813787345
Recorder,783311.77866,0.004073954187333584,1787643586298.0305,783311.849809604,783311.849813678
Recorder,783311.81217,0.00442692544311285,1787643586296.4487,783311.88175445,783311.881758877
Recorder,783311.845681,0.004765926860272884,1787643586295.1494,783311.913965592,783311.913970358
